GHO (CODE),GHO (DISPLAY),GHO (URL),YEAR (DISPLAY),STARTYEAR,ENDYEAR,REGION (CODE),REGION (DISPLAY),COUNTRY (CODE),COUNTRY (DISPLAY),DIMENSION (TYPE),DIMENSION (CODE),DIMENSION (NAME),Numeric_x,Value,Low,High,STATE,Numeric_y,S2_NDVI_existing,S3_NDVI_existing,S3_Temperature_existing,Numeric,S2_NDVI_fake,S3_NDVI_fake,S3_Temperature_fake,latitude,longitude
MALARIA_INDIG,Number of indigenous malaria cases,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/number-of-indigenous-malaria-cases,2016,2016,2016,AFR,Africa,NGA,Nigeria,,,,13598282.0,13 598 282,,,Abuja,18792.0,-0.0038528193790386,-0.8027789252259773,280.08434475143684,18792.0,-0.0038528193790386823,-0.8027789252259773,280.08434475143684,9.0765,7.3986
MALARIA_PF_INDIG,Number of indigenous P. falciparum malaria cases,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/number-of-indigenous-p.-falciparum-malaria-cases,2016,2016,2016,AFR,Africa,NGA,Nigeria,,,,13598282.0,13 598 282,,,Abuja,18792.0,-0.0038528193790386,-0.8027789252259773,280.08434475143684,18792.0,-0.0038528193790386823,-0.8027789252259773,280.08434475143684,9.0765,7.3986
MALARIA_TOTAL_CASES,Total number of  malaria cases (presumed + confirmed cases),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/total-number-of-malaria-cases-presumed-confirmed-cases,2016,2016,2016,AFR,Africa,NGA,Nigeria,,,,23956669.0,23 956 669,,,Abuja,18792.0,-0.0038528193790386,-0.8027789252259773,280.08434475143684,18792.0,-0.0038528193790386823,-0.8027789252259773,280.08434475143684,9.0765,7.3986
MALARIA_RDT_POS,Number of malaria positive cases by rapid diagnostic test (RDT),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/number-of-malaria-positive-cases-by-rapid-diagnostic-test-rdt,2016,2016,2016,AFR,Africa,NGA,Nigeria,,,,12979919.0,12 979 919,,,Abuja,18792.0,-0.0038528193790386,-0.8027789252259773,280.08434475143684,18792.0,-0.0038528193790386823,-0.8027789252259773,280.08434475143684,9.0765,7.3986
MALARIA_SUSPECTS,Number of suspected malaria cases,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/number-of-suspected-malaria-cases,2016,2016,2016,AFR,Africa,NGA,Nigeria,,,,29113322.0,29 113 322,,,Abuja,18792.0,-0.0038528193790386,-0.8027789252259773,280.08434475143684,18792.0,-0.0038528193790386823,-0.8027789252259773,280.08434475143684,9.0765,7.3986
MALARIA_MICR_TEST,Number of malaria suspects examined by microscopy,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/number-of-malaria-suspects-examined-by-microscopy,2016,2016,2016,AFR,Africa,NGA,Nigeria,,,,901141.0,901 141,,,Abuja,18792.0,-0.0038528193790386,-0.8027789252259773,280.08434475143684,18792.0,-0.0038528193790386823,-0.8027789252259773,280.08434475143684,9.0765,7.3986
MALARIA_CONF_CASES,Number of confirmed malaria cases,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/number-confirmed-malaria-cases,2016,2016,2016,AFR,Africa,NGA,Nigeria,,,,13598282.0,13 598 282,,,Abuja,18792.0,-0.0038528193790386,-0.8027789252259773,280.08434475143684,18792.0,-0.0038528193790386823,-0.8027789252259773,280.08434475143684,9.0765,7.3986
MALARIA_MICR_POS,Number of malaria positive cases by microscopy,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/number-of-malaria-positive-cases-by-microscopy,2016,2016,2016,AFR,Africa,NGA,Nigeria,,,,618363.0,618 363,,,Abuja,18792.0,-0.0038528193790386,-0.8027789252259773,280.08434475143684,18792.0,-0.0038528193790386823,-0.8027789252259773,280.08434475143684,9.0765,7.3986
MALARIA_EST_MORTALITY,Estimated malaria mortality rate (per 100 000 population),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/estimated-malaria-mortality-rate-per-100-000-population,2016,2016,2016,AFR,Africa,NGA,Nigeria,,,,87.91637,87.92 [75.66-103.81],75.66422,103.80589,Abuja,18792.0,-0.0038528193790386,-0.8027789252259773,280.08434475143684,18792.0,-0.0038528193790386823,-0.8027789252259773,280.08434475143684,9.0765,7.3986
MALARIA_RDT_POS,Number of malaria positive cases by rapid diagnostic test (RDT),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/number-of-malaria-positive-cases-by-rapid-diagnostic-test-rdt,2017,2017,2017,AFR,Africa,NGA,Nigeria,,,,12338760.0,12 338 760,,,Abuja,18433.0,-0.0568258601562305,-0.0762691579215942,264.89777503668347,18433.0,-0.056825860156230514,-0.07626915792159421,264.89777503668347,9.0765,7.3986
MALARIA_SUSPECTS,Number of suspected malaria cases,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/number-of-suspected-malaria-cases,2017,2017,2017,AFR,Africa,NGA,Nigeria,,,,25106551.0,25 106 551,,,Abuja,18433.0,-0.0568258601562305,-0.0762691579215942,264.89777503668347,18433.0,-0.056825860156230514,-0.07626915792159421,264.89777503668347,9.0765,7.3986
MALARIA_INDIG,Number of indigenous malaria cases,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/number-of-indigenous-malaria-cases,2017,2017,2017,AFR,Africa,NGA,Nigeria,,,,13087878.0,13 087 878,,,Abuja,18433.0,-0.0568258601562305,-0.0762691579215942,264.89777503668347,18433.0,-0.056825860156230514,-0.07626915792159421,264.89777503668347,9.0765,7.3986
MALARIA_EST_INCIDENCE,Estimated malaria incidence (per 1000 population at risk),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/malaria-incidence-%28per-1-000-population-at-risk%29,2017,2017,2017,AFR,Africa,NGA,Nigeria,,,,288.97983,288.98 [229.08-359.80],229.07687,359.80387,Abuja,18433.0,-0.0568258601562305,-0.0762691579215942,264.89777503668347,18433.0,-0.056825860156230514,-0.07626915792159421,264.89777503668347,9.0765,7.3986
MALARIA_CONF_CASES,Number of confirmed malaria cases,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/number-confirmed-malaria-cases,2017,2017,2017,AFR,Africa,NGA,Nigeria,,,,13087878.0,13 087 878,,,Abuja,18433.0,-0.0568258601562305,-0.0762691579215942,264.89777503668347,18433.0,-0.056825860156230514,-0.07626915792159421,264.89777503668347,9.0765,7.3986
MALARIA_PRES_CASES,Number of presumed malaria cases,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/number-of-presumed-malaria-cases,2017,2017,2017,AFR,Africa,NGA,Nigeria,,,,7131390.0,7 131 390,,,Abuja,18433.0,-0.0568258601562305,-0.0762691579215942,264.89777503668347,18433.0,-0.056825860156230514,-0.07626915792159421,264.89777503668347,9.0765,7.3986
MALARIA_TOTAL_CASES,Total number of  malaria cases (presumed + confirmed cases),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/total-number-of-malaria-cases-presumed-confirmed-cases,2017,2017,2017,AFR,Africa,NGA,Nigeria,,,,20219268.0,20 219 268,,,Abuja,18433.0,-0.0568258601562305,-0.0762691579215942,264.89777503668347,18433.0,-0.056825860156230514,-0.07626915792159421,264.89777503668347,9.0765,7.3986
MALARIA_PF_INDIG,Number of indigenous P. falciparum malaria cases,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/number-of-indigenous-p.-falciparum-malaria-cases,2017,2017,2017,AFR,Africa,NGA,Nigeria,,,,13087878.0,13 087 878,,,Abuja,18433.0,-0.0568258601562305,-0.0762691579215942,264.89777503668347,18433.0,-0.056825860156230514,-0.07626915792159421,264.89777503668347,9.0765,7.3986
MALARIA_MICR_POS,Number of malaria positive cases by microscopy,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/number-of-malaria-positive-cases-by-microscopy,2017,2017,2017,AFR,Africa,NGA,Nigeria,,,,749118.0,749 118,,,Abuja,18433.0,-0.0568258601562305,-0.0762691579215942,264.89777503668347,18433.0,-0.056825860156230514,-0.07626915792159421,264.89777503668347,9.0765,7.3986
MALARIA_MICR_TEST,Number of malaria suspects examined by microscopy,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/number-of-malaria-suspects-examined-by-microscopy,2017,2017,2017,AFR,Africa,NGA,Nigeria,,,,1055444.0,1 055 444,,,Abuja,18433.0,-0.0568258601562305,-0.0762691579215942,264.89777503668347,18433.0,-0.056825860156230514,-0.07626915792159421,264.89777503668347,9.0765,7.3986
MALARIA_EST_MORTALITY,Estimated malaria mortality rate (per 100 000 population),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/estimated-malaria-mortality-rate-per-100-000-population,2017,2017,2017,AFR,Africa,NGA,Nigeria,,,,88.47538,88.48 [74.72-107.06],74.71969,107.05675,Abuja,18433.0,-0.0568258601562305,-0.0762691579215942,264.89777503668347,18433.0,-0.056825860156230514,-0.07626915792159421,264.89777503668347,9.0765,7.3986
MALARIA_CONF_CASES,Number of confirmed malaria cases,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/number-confirmed-malaria-cases,2018,2018,2018,AFR,Africa,NGA,Nigeria,,,,14548024.0,14 548 024,,,Abuja,21016.0,0.362305132923547,-0.4950118944047833,303.98195925719347,21016.0,0.36230513292354705,-0.4950118944047833,303.98195925719347,9.0765,7.3986
MALARIA_MICR_TEST,Number of malaria suspects examined by microscopy,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/number-of-malaria-suspects-examined-by-microscopy,2018,2018,2018,AFR,Africa,NGA,Nigeria,,,,1428731.0,1 428 731,,,Abuja,21016.0,0.362305132923547,-0.4950118944047833,303.98195925719347,21016.0,0.36230513292354705,-0.4950118944047833,303.98195925719347,9.0765,7.3986
MALARIA_SUSPECTS,Number of suspected malaria cases,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/number-of-suspected-malaria-cases,2018,2018,2018,AFR,Africa,NGA,Nigeria,,,,25381459.0,25 381 459,,,Abuja,21016.0,0.362305132923547,-0.4950118944047833,303.98195925719347,21016.0,0.36230513292354705,-0.4950118944047833,303.98195925719347,9.0765,7.3986
MALARIA_PRES_CASES,Number of presumed malaria cases,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/number-of-presumed-malaria-cases,2018,2018,2018,AFR,Africa,NGA,Nigeria,,,,5934356.0,5 934 356,,,Abuja,21016.0,0.362305132923547,-0.4950118944047833,303.98195925719347,21016.0,0.36230513292354705,-0.4950118944047833,303.98195925719347,9.0765,7.3986
MALARIA_PF_INDIG,Number of indigenous P. falciparum malaria cases,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/number-of-indigenous-p.-falciparum-malaria-cases,2018,2018,2018,AFR,Africa,NGA,Nigeria,,,,14548024.0,14 548 024,,,Abuja,21016.0,0.362305132923547,-0.4950118944047833,303.98195925719347,21016.0,0.36230513292354705,-0.4950118944047833,303.98195925719347,9.0765,7.3986
MALARIA_MICR_POS,Number of malaria positive cases by microscopy,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/number-of-malaria-positive-cases-by-microscopy,2018,2018,2018,AFR,Africa,NGA,Nigeria,,,,1023273.0,1 023 273,,,Abuja,21016.0,0.362305132923547,-0.4950118944047833,303.98195925719347,21016.0,0.36230513292354705,-0.4950118944047833,303.98195925719347,9.0765,7.3986
MALARIA_EST_MORTALITY,Estimated malaria mortality rate (per 100 000 population),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/estimated-malaria-mortality-rate-per-100-000-population,2018,2018,2018,AFR,Africa,NGA,Nigeria,,,,88.36542,88.37 [72.84-109.45],72.84207,109.44836,Abuja,21016.0,0.362305132923547,-0.4950118944047833,303.98195925719347,21016.0,0.36230513292354705,-0.4950118944047833,303.98195925719347,9.0765,7.3986
MALARIA_RDT_POS,Number of malaria positive cases by rapid diagnostic test (RDT),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/number-of-malaria-positive-cases-by-rapid-diagnostic-test-rdt,2018,2018,2018,AFR,Africa,NGA,Nigeria,,,,13524751.0,13 524 751,,,Abuja,21016.0,0.362305132923547,-0.4950118944047833,303.98195925719347,21016.0,0.36230513292354705,-0.4950118944047833,303.98195925719347,9.0765,7.3986
MALARIA_INDIG,Number of indigenous malaria cases,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/number-of-indigenous-malaria-cases,2018,2018,2018,AFR,Africa,NGA,Nigeria,,,,14548024.0,14 548 024,,,Abuja,21016.0,0.362305132923547,-0.4950118944047833,303.98195925719347,21016.0,0.36230513292354705,-0.4950118944047833,303.98195925719347,9.0765,7.3986
MALARIA_TOTAL_CASES,Total number of  malaria cases (presumed + confirmed cases),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/total-number-of-malaria-cases-presumed-confirmed-cases,2018,2018,2018,AFR,Africa,NGA,Nigeria,,,,20482380.0,20 482 380,,,Abuja,21016.0,0.362305132923547,-0.4950118944047833,303.98195925719347,21016.0,0.36230513292354705,-0.4950118944047833,303.98195925719347,9.0765,7.3986
MALARIA_EST_INCIDENCE,Estimated malaria incidence (per 1000 population at risk),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/malaria-incidence-%28per-1-000-population-at-risk%29,2018,2018,2018,AFR,Africa,NGA,Nigeria,,,,291.07354,291.07 [228.98-367.07],228.98336,367.06932,Abuja,21016.0,0.362305132923547,-0.4950118944047833,303.98195925719347,21016.0,0.36230513292354705,-0.4950118944047833,303.98195925719347,9.0765,7.3986
MALARIA_MICR_POS,Number of malaria positive cases by microscopy,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/number-of-malaria-positive-cases-by-microscopy,2019,2019,2019,AFR,Africa,NGA,Nigeria,,,,2476514.0,2 476 514,,,Abuja,33897.0,0.1391858236896791,0.1188523452983354,282.5687043102058,33897.0,0.1391858236896791,0.1188523452983354,282.5687043102058,9.0765,7.3986
MALARIA_SUSPECTS,Number of suspected malaria cases,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/number-of-suspected-malaria-cases,2019,2019,2019,AFR,Africa,NGA,Nigeria,,,,29489245.0,29 489 245,,,Abuja,33897.0,0.1391858236896791,0.1188523452983354,282.5687043102058,33897.0,0.1391858236896791,0.1188523452983354,282.5687043102058,9.0765,7.3986
MALARIA_MICR_TEST,Number of malaria suspects examined by microscopy,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/number-of-malaria-suspects-examined-by-microscopy,2019,2019,2019,AFR,Africa,NGA,Nigeria,,,,3298156.0,3 298 156,,,Abuja,33897.0,0.1391858236896791,0.1188523452983354,282.5687043102058,33897.0,0.1391858236896791,0.1188523452983354,282.5687043102058,9.0765,7.3986
MALARIA_PF_INDIG,Number of indigenous P. falciparum malaria cases,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/number-of-indigenous-p.-falciparum-malaria-cases,2019,2019,2019,AFR,Africa,NGA,Nigeria,,,,19806915.0,19 806 915,,,Abuja,33897.0,0.1391858236896791,0.1188523452983354,282.5687043102058,33897.0,0.1391858236896791,0.1188523452983354,282.5687043102058,9.0765,7.3986
MALARIA_PRES_CASES,Number of presumed malaria cases,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/number-of-presumed-malaria-cases,2019,2019,2019,AFR,Africa,NGA,Nigeria,,,,3569878.0,3 569 878,,,Abuja,33897.0,0.1391858236896791,0.1188523452983354,282.5687043102058,33897.0,0.1391858236896791,0.1188523452983354,282.5687043102058,9.0765,7.3986
MALARIA_RDT_POS,Number of malaria positive cases by rapid diagnostic test (RDT),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/number-of-malaria-positive-cases-by-rapid-diagnostic-test-rdt,2019,2019,2019,AFR,Africa,NGA,Nigeria,,,,17330401.0,17 330 401,,,Abuja,33897.0,0.1391858236896791,0.1188523452983354,282.5687043102058,33897.0,0.1391858236896791,0.1188523452983354,282.5687043102058,9.0765,7.3986
MALARIA_EST_INCIDENCE,Estimated malaria incidence (per 1000 population at risk),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/malaria-incidence-%28per-1-000-population-at-risk%29,2019,2019,2019,AFR,Africa,NGA,Nigeria,,,,292.99995,293.00 [226.46-376.22],226.46166,376.22315,Abuja,33897.0,0.1391858236896791,0.1188523452983354,282.5687043102058,33897.0,0.1391858236896791,0.1188523452983354,282.5687043102058,9.0765,7.3986
MALARIA_INDIG,Number of indigenous malaria cases,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/number-of-indigenous-malaria-cases,2019,2019,2019,AFR,Africa,NGA,Nigeria,,,,19806915.0,19 806 915,,,Abuja,33897.0,0.1391858236896791,0.1188523452983354,282.5687043102058,33897.0,0.1391858236896791,0.1188523452983354,282.5687043102058,9.0765,7.3986
MALARIA_TOTAL_CASES,Total number of  malaria cases (presumed + confirmed cases),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/total-number-of-malaria-cases-presumed-confirmed-cases,2019,2019,2019,AFR,Africa,NGA,Nigeria,,,,23376793.0,23 376 793,,,Abuja,33897.0,0.1391858236896791,0.1188523452983354,282.5687043102058,33897.0,0.1391858236896791,0.1188523452983354,282.5687043102058,9.0765,7.3986
MALARIA_CONF_CASES,Number of confirmed malaria cases,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/number-confirmed-malaria-cases,2019,2019,2019,AFR,Africa,NGA,Nigeria,,,,19806915.0,19 806 915,,,Abuja,33897.0,0.1391858236896791,0.1188523452983354,282.5687043102058,33897.0,0.1391858236896791,0.1188523452983354,282.5687043102058,9.0765,7.3986
MALARIA_EST_MORTALITY,Estimated malaria mortality rate (per 100 000 population),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/estimated-malaria-mortality-rate-per-100-000-population,2019,2019,2019,AFR,Africa,NGA,Nigeria,,,,86.66942,86.67 [69.87-110.38],69.87148,110.38039,Abuja,33897.0,0.1391858236896791,0.1188523452983354,282.5687043102058,33897.0,0.1391858236896791,0.1188523452983354,282.5687043102058,9.0765,7.3986
MALARIA_CONF_CASES,Number of confirmed malaria cases,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/number-confirmed-malaria-cases,2020,2020,2020,AFR,Africa,NGA,Nigeria,,,,18325240.0,18 325 240,,,Abuja,12612.0,0.273737774838906,-0.5714439417928815,305.6233260773547,12612.0,0.27373777483890605,-0.5714439417928815,305.6233260773547,9.0765,7.3986
MALARIA_SUSPECTS,Number of suspected malaria cases,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/number-of-suspected-malaria-cases,2020,2020,2020,AFR,Africa,NGA,Nigeria,,,,27370935.0,27 370 935,,,Abuja,12612.0,0.273737774838906,-0.5714439417928815,305.6233260773547,12612.0,0.27373777483890605,-0.5714439417928815,305.6233260773547,9.0765,7.3986
MALARIA_EST_INCIDENCE,Estimated malaria incidence (per 1000 population at risk),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/malaria-incidence-%28per-1-000-population-at-risk%29,2020,2020,2020,AFR,Africa,NGA,Nigeria,,,,304.36879,304.37 [218.69-414.28],218.68928,414.27902,Abuja,12612.0,0.273737774838906,-0.5714439417928815,305.6233260773547,12612.0,0.27373777483890605,-0.5714439417928815,305.6233260773547,9.0765,7.3986
MALARIA_EST_MORTALITY,Estimated malaria mortality rate (per 100 000 population),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/estimated-malaria-mortality-rate-per-100-000-population,2020,2020,2020,AFR,Africa,NGA,Nigeria,,,,93.57971,93.58 [72.02-125.44],72.02464,125.44491,Abuja,12612.0,0.273737774838906,-0.5714439417928815,305.6233260773547,12612.0,0.27373777483890605,-0.5714439417928815,305.6233260773547,9.0765,7.3986
MALARIA_PRES_CASES,Number of presumed malaria cases,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/number-of-presumed-malaria-cases,2020,2020,2020,AFR,Africa,NGA,Nigeria,,,,3254815.0,3 254 815,,,Abuja,12612.0,0.273737774838906,-0.5714439417928815,305.6233260773547,12612.0,0.27373777483890605,-0.5714439417928815,305.6233260773547,9.0765,7.3986
MALARIA_TOTAL_CASES,Total number of  malaria cases (presumed + confirmed cases),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/total-number-of-malaria-cases-presumed-confirmed-cases,2020,2020,2020,AFR,Africa,NGA,Nigeria,,,,21580055.0,21 580 055,,,Abuja,12612.0,0.273737774838906,-0.5714439417928815,305.6233260773547,12612.0,0.27373777483890605,-0.5714439417928815,305.6233260773547,9.0765,7.3986
MALARIA_MICR_TEST,Number of malaria suspects examined by microscopy,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/number-of-malaria-suspects-examined-by-microscopy,2020,2020,2020,AFR,Africa,NGA,Nigeria,,,,3086039.0,3 086 039,,,Abuja,12612.0,0.273737774838906,-0.5714439417928815,305.6233260773547,12612.0,0.27373777483890605,-0.5714439417928815,305.6233260773547,9.0765,7.3986
MALARIA_RDT_POS,Number of malaria positive cases by rapid diagnostic test (RDT),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/number-of-malaria-positive-cases-by-rapid-diagnostic-test-rdt,2020,2020,2020,AFR,Africa,NGA,Nigeria,,,,16013077.0,16 013 077,,,Abuja,12612.0,0.273737774838906,-0.5714439417928815,305.6233260773547,12612.0,0.27373777483890605,-0.5714439417928815,305.6233260773547,9.0765,7.3986
MALARIA_MICR_POS,Number of malaria positive cases by microscopy,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/number-of-malaria-positive-cases-by-microscopy,2020,2020,2020,AFR,Africa,NGA,Nigeria,,,,2312163.0,2 312 163,,,Abuja,12612.0,0.273737774838906,-0.5714439417928815,305.6233260773547,12612.0,0.27373777483890605,-0.5714439417928815,305.6233260773547,9.0765,7.3986
MALARIA_PF_INDIG,Number of indigenous P. falciparum malaria cases,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/number-of-indigenous-p.-falciparum-malaria-cases,2020,2020,2020,AFR,Africa,NGA,Nigeria,,,,18325240.0,18 325 240,,,Abuja,12612.0,0.273737774838906,-0.5714439417928815,305.6233260773547,12612.0,0.27373777483890605,-0.5714439417928815,305.6233260773547,9.0765,7.3986
